find_id,site,datum,material,type,x_jtsk,y_jtsk,weight_g,depth_cm,condition,notes
F-0001,Znojmo-Hradiště,2023,glass,bracelet fragment,-669016.7,-1190303.3,85.4,30,worn,no context recorded
F-0002,Pohansko,2021,bronze,ring,-571658.6,-1195945.2,63.2,15,fragmentary,redeposited
F-0003,Dolní Věstonice,2017,ceramic,spindle whorl,-600602.4,-1188611.5,74.9,25,corroded,
F-0004,Němčice nad Hanou,2017,silver,pendant,-559957.9,-1128628.9,34.8,45,corroded,no context recorded
F-0005,Staré Hradisko,2022,bronze,fitting,-549517.3,-1119871.7,36.7,45,good,
F-0006,Bořitov,2018,ceramic,loom weight,-598055.5,-1152559.5,8.6,30,corroded,redeposited
F-0007,Blučina,2024,bone,worked fragment,-594997.4,-1172430.8,107.6,20,good,associated with hearth
F-0008,Mikulčice,2021,silver,pendant,-546748.2,-1195218.0,,35,fragmentary,metal detector find
F-0009,Dolní Věstonice,2020,stone,flake,-600875.7,-1188340.4,29.6,35,good,no context recorded
F-0010,Blučina,2025,bronze,brooch,-595000.4,-1172101.9,19.5,40,good,no context recorded
F-0011,Dolní Věstonice,2023,bone,awl,-600675.8,-1188616.9,6.7,15,worn,
F-0012,Pohansko,2023,stone,whetstone,-571535.3,-1195602.6,85.5,25,good,no context recorded
F-0013,Bořitov,2019,stone,flake,-597927.1,-1152501.0,8.6,20,worn,
F-0014,Pohansko,2023,ceramic,sherd,-571228.4,-1195693.8,55.5,45,good,no context recorded
F-0015,Mikulčice,2023,ceramic,spindle whorl,-546607.2,-1195019.0,15.4,20,good,redeposited
F-0016,Němčice nad Hanou,2022,iron,knife,-560173.2,-1129103.4,8.8,45,corroded,
F-0017,Blučina,2021,iron,spearhead,-594917.1,-1172516.9,10.4,45,corroded,
F-0018,Znojmo-Hradiště,2023,stone,whetstone,-668841.8,-1190265.5,29.6,25,worn,associated with hearth
F-0019,Staré Hradisko,2023,iron,knife,-549987.2,-1119557.9,78.1,70,fragmentary,metal detector find
F-0020,Pohansko,2023,ceramic,sherd,-571613.6,-1196053.0,143.7,45,good,sieved
F-0021,Znojmo-Hradiště,2019,silver,coin,-668844.3,-1189965.6,14.5,35,corroded,sieved
F-0022,Blučina,2019,silver,coin,-595185.4,-1172178.3,21.6,25,good,found in fill
F-0023,Znojmo-Hradiště,2021,bronze,fitting,-669141.5,-1189849.0,43.7,40,corroded,metal detector find
