file_name,classes,record,doi
C201911202N00007F01.jpg,mount,C-201911202-N00007,https://doi.org/10.71928/C-201911202-N00007
C201911202N00008F01.jpg,clothing pin,C-201911202-N00008,https://doi.org/10.71928/C-201911202-N00008
C201911202N00013F01.jpg,circle/ring,C-201911202-N00013,https://doi.org/10.71928/C-201911202-N00013
C201911202N00017F01.jpg,coin,C-201911202-N00017,https://doi.org/10.71928/C-201911202-N00017
C201911202N00018F01.jpg,mount,C-201911202-N00018,https://doi.org/10.71928/C-201911202-N00018
C201911202N00020F01.jpg,mount,C-201911202-N00020,https://doi.org/10.71928/C-201911202-N00020
C202009779N00004F01.jpg,pendant,C-202009779-N00004,https://doi.org/10.71928/C-202009779-N00004
C202009779N00010F01.jpg,buckle,C-202009779-N00010,https://doi.org/10.71928/C-202009779-N00010
C202009779N00011F01.jpg,mount,C-202009779-N00011,https://doi.org/10.71928/C-202009779-N00011
C202010404N00016F01.jpg,clothing pin,C-202010404-N00016,https://doi.org/10.71928/C-202010404-N00016
C202010514N00001F01.jpg,bracelet,C-202010514-N00001,https://doi.org/10.71928/C-202010514-N00001
C202010524N00002F01.jpg,mount,C-202010524-N00002,https://doi.org/10.71928/C-202010524-N00002
C202010524N00003F01.jpg,clothing pin,C-202010524-N00003,https://doi.org/10.71928/C-202010524-N00003
C202010524N00005F01.jpg,fibula,C-202010524-N00005,https://doi.org/10.71928/C-202010524-N00005
C202010524N00014F01.jpg,coin,C-202010524-N00014,https://doi.org/10.71928/C-202010524-N00014
C202010524N00018F02.jpg,pendant,C-202010524-N00018,https://doi.org/10.71928/C-202010524-N00018
C202104531N00005F01.jpg,bracelet,C-202104531-N00005,https://doi.org/10.71928/C-202104531-N00005
C202104531N00005F02.jpg,bracelet,C-202104531-N00005,https://doi.org/10.71928/C-202104531-N00005
C202108672N00002F01.jpg,buckle,C-202108672-N00002,https://doi.org/10.71928/C-202108672-N00002
C202108672N00003F01.jpg,mount,C-202108672-N00003,https://doi.org/10.71928/C-202108672-N00003
C202108672N00004F01.jpg,pendant,C-202108672-N00004,https://doi.org/10.71928/C-202108672-N00004
C202108672N00005F01.jpg,pendant,C-202108672-N00005,https://doi.org/10.71928/C-202108672-N00005
C202108672N00007F01.jpg,pendant,C-202108672-N00007,https://doi.org/10.71928/C-202108672-N00007
C202108672N00014F01.jpg,pendant,C-202108672-N00014,https://doi.org/10.71928/C-202108672-N00014
C202108672N00017F04.jpg,fibula,C-202108672-N00017,https://doi.org/10.71928/C-202108672-N00017
C202108672N00025F01.jpg,circle/ring,C-202108672-N00025,https://doi.org/10.71928/C-202108672-N00025
C202108672N00027F01.jpg,fibula,C-202108672-N00027,https://doi.org/10.71928/C-202108672-N00027
C202108672N00030F01.jpg,mount,C-202108672-N00030,https://doi.org/10.71928/C-202108672-N00030
C202108672N00031F01.jpg,mount,C-202108672-N00031,https://doi.org/10.71928/C-202108672-N00031
